GeneID,Localization
G234644,nucleus
G234880,nucleus
G235131,nucleus
G235077,cytoskeleton
G235728,golgi
G235716,ER
G238234,nucleus
G235715,cytoplasm
G235200,vacuole
G234286,mitochondria
G235225,nucleus
G234458,nucleus
G235653,cytoskeleton
G235408,mitochondria
G235617,vacuole
G235435,cytoplasm
G235689,nucleus
G234860,plasma membrane
G236506,cytoplasm
G237228,cytoskeleton
G235336,cytoplasm
G234522,plasma membrane
G240504,cytoplasm
G235626,cytoplasm
G234271,plasma membrane
G234178,nucleus
G240410,cytoplasm
G235471,nucleus
G234089,plasma membrane
G237038,golgi
G235717,nucleus
G235515,cytoplasm
G235303,mitochondria
G235043,nucleus
G238510,nucleus
G235447,nucleus
G234702,integral membrane
G234368,cytoplasm
G235563,nucleus
G235866,cytoplasm
G239266,cytoplasm
G236626,cytoplasm
G236589,mitochondria
G235240,nucleus
G235380,cytoplasm
G235619,nucleus
G235436,cytoplasm
G235629,nucleus
G235703,ER
G234167,cytoskeleton
G238295,nucleus
G238195,cytoplasm
G235228,cytoplasm
G239428,cytoplasm
G235726,mitochondria
G234636,nucleus
G234103,cytoplasm
G235229,nucleus
G234468,cytoplasm
G236167,nucleus
G237160,nucleus
G239063,nucleus
G235105,nucleus
G235101,cytoplasm
G235579,mitochondria
G235876,mitochondria
G235130,cytoplasm
G238392,cytoskeleton
G235830,nucleus
G236733,mitochondria
G236895,nucleus
G235334,nucleus
G235785,nucleus
G238933,nucleus
G235516,nucleus
G239223,cytoplasm
G238024,golgi
G235052,mitochondria
G236063,cytoplasm
G235243,nucleus
G236147,golgi
G238637,nucleus
G237661,cytoplasm
G235499,transport vesicles
G234767,plasma membrane
G240337,nucleus
G235453,nucleus
G239626,mitochondria
G235550,nucleus
G234983,cytoskeleton
G239188,mitochondria
G237123,nucleus
G238789,nucleus
G235568,nucleus
G238793,nucleus
G234638,nucleus
G235664,cytoplasm
G235313,cytoskeleton
G234212,cytoplasm
G235340,cytoskeleton
G238891,ER
G236047,cytoplasm
G236325,nucleus
G235288,cytoplasm
G235706,nucleus
G235213,nucleus
G235277,cytoskeleton
G235158,cytoskeleton
G236546,nucleus
G235132,cytoplasm
G234725,nucleus
G234293,plasma membrane
G234371,cytoplasm
G240292,cytoplasm
G234876,cytoplasm
G235375,nucleus
G235724,cytoskeleton
G235332,nucleus
G234076,nucleus
G235310,nucleus
G236730,nucleus
G240468,cytoplasm
G235044,cytoplasm
G236479,nucleus
G235821,mitochondria
G235307,cytoplasm
G237243,plasma membrane
G238238,cytoplasm
G235607,golgi
G234402,cytoplasm
G239640,golgi
G234360,cytoplasm
G234665,peroxisome
G239837,cytoplasm
G235127,cytoplasm
G235398,plasma membrane
G235035,transport vesicles
G234065,cytoplasm
G239196,nucleus
G237524,cytoskeleton
G234642,vacuole
G234960,cytoplasm
G235711,nucleus
G235564,endosome
G234635,nucleus
G235826,cytoplasm
G235450,nucleus
G235294,nucleus
G235242,cytoskeleton
G235266,nucleus
G234850,nucleus
G235750,nucleus
G238715,nucleus
G234762,nucleus
G239010,nucleus
G237702,cytoplasm
G235400,nucleus
G235655,plasma membrane
G234229,plasma membrane
G234936,nucleus
G235610,cytoskeleton
G235138,nucleus
G235624,nucleus
G234206,nucleus
G235692,nucleus
G234964,cytoplasm
G234109,plasma membrane
G237892,peroxisome
G234692,nucleus
G234867,nucleus
G236161,cytoplasm
G234248,cytoplasm
G239789,cytoplasm
G235099,transport vesicles
G236154,golgi
G234553,cytoplasm
G235810,nucleus
G234744,nucleus
G235142,nucleus
G238954,integral membrane
G237663,mitochondria
G234096,cytoplasm
G235627,transport vesicles
G234326,golgi
G235302,mitochondria
G235181,nucleus
G237333,plasma membrane
G236509,nucleus
G238527,ER
G235640,peroxisome
G234915,nucleus
G234070,cytoskeleton
G240323,mitochondria
G237674,nucleus
G234914,nucleus
G237594,mitochondria
G235241,nucleus
G234684,nucleus
G239420,mitochondria
G239186,nucleus
G235597,golgi
G235729,nucleus
G240048,cytoplasm
G239882,mitochondria
G240301,vacuole
G239017,nucleus
G235637,cytoplasm
G239101,cytoplasm
G235835,cytoskeleton
G234341,nucleus
G234240,nucleus
G235395,nucleus
G234907,nucleus
G235182,nucleus
G235358,nucleus
G234529,nucleus
G234202,nucleus
G237261,nucleus
G234235,nucleus
G237575,transport vesicles
G239178,nucleus
G235331,cytoplasm
G235161,mitochondria
G235324,nucleus
G239672,mitochondria
G234361,nucleus
G234300,nucleus
G237391,cytoplasm
G234263,nucleus
G235419,nucleus
G236268,mitochondria
G235189,nucleus
G234562,nucleus
G235802,nucleus
G238191,nucleus
G234194,nucleus
G235371,nucleus
G235004,nucleus
G235027,cytoskeleton
G234535,nucleus
G234101,mitochondria
G234700,cytoplasm
G235216,cytoskeleton
G235059,cytoplasm
G234572,cytoplasm
G239523,peroxisome
G235005,cytoplasm
G238942,mitochondria
G234980,nucleus
G234787,plasma membrane
G237624,nucleus
G235006,cytoplasm
G235123,nucleus
G234446,vacuole
G240099,cytoplasm
G235271,cytoskeleton
G235095,mitochondria
G239782,nucleus
G238049,mitochondria
G235546,nucleus
G235519,mitochondria
G237120,plasma membrane
G235561,cytoplasm
G234108,cytoplasm
G235502,cytoplasm
G235508,nucleus
G235372,nucleus
G235239,golgi
G235011,mitochondria
G235359,cytoplasm
G234754,plasma membrane
G234824,cytoplasm
G238895,cytoplasm
G235426,nucleus
G236210,golgi
G235463,ER
G234369,cytoplasm
G235388,nucleus
G234863,nucleus
G235205,cytoplasm
G235631,nucleus
G235654,cytoplasm
G235532,nucleus
G234124,nucleus
G237879,nucleus
G236085,extracellular
G235042,cytoplasm
G235012,nucleus
G237760,ER
G234197,cytoskeleton
G234382,nucleus
G234715,nucleus
G235625,vacuole
G235293,golgi
G234509,ER
G235274,nucleus
G235843,cytoplasm
G234429,nucleus
G235699,nucleus
G235480,nucleus
G235616,ER
G240065,cytoplasm
G234908,cytoplasm
G236351,nucleus
G234735,plasma membrane
G234994,nucleus
G234829,mitochondria
G236244,nucleus
G235735,nucleus
G235482,transport vesicles
G236701,nucleus
G237857,vacuole
G234687,cytoplasm
G235649,nucleus
G235580,mitochondria
G235578,mitochondria
G237495,mitochondria
G234317,cytoskeleton
G235634,transport vesicles
G236576,mitochondria
G235128,nucleus
G234722,nucleus
G235264,nucleus
G236965,endosome
G236363,nucleus
G235615,mitochondria
G235892,cytoskeleton
G235680,nucleus
G235462,nucleus
G235741,cytoplasm
G234959,cytoplasm
G235912,cytoplasm
G235871,cytoplasm
G239733,nucleus
G239098,peroxisome
G234934,nucleus
G239008,nucleus
G237469,golgi
G236933,nucleus
G238677,nucleus
G234106,nucleus
G235019,nucleus
G235350,nucleus
G234084,cytoplasm
