exp_name,accuracy,time,emb_time
mondial_original_target\EK_3_100_500_10_50000_0experiment_dynamic_95%in_1_ep,0.619047619,0.147777778,0.015
mondial_original_target\EK_3_100_500_10_50000_0experiment_dynamic_95%in_2_ep,0.60952381,0.163333333,0.016666667
mondial_original_target\EK_3_100_500_10_50000_0experiment_dynamic_95%in_3_ep,0.623809524,0.182222222,0.018333333
mondial_original_target\EK_3_100_500_10_50000_0experiment_dynamic_95%in_4_ep,0.70952381,0.198611111,0.020277778
mondial_original_target\EK_3_100_500_10_50000_0experiment_dynamic_95%in_5_ep,0.795238095,0.219166667,0.022222222
mondial_original_target\EK_3_100_500_10_50000_0experiment_dynamic_95%in_6_ep,0.833333333,0.237222222,0.024166667
mondial_original_target\EK_3_100_500_10_50000_0experiment_dynamic_95%in_7_ep,0.838095238,0.251111111,0.025555556
mondial_original_target\EK_3_100_500_10_50000_0experiment_dynamic_95%in_8_ep,0.823809524,0.264722222,0.026666667
mondial_original_target\EK_3_100_500_10_50000_0experiment_dynamic_95%in_9_ep,0.833333333,0.285555556,0.029444444
mondial_target_continent\EK_3_100_500_10_50000_0experiment_dynamic_55%in_1_ep,0.96,0.310277778,0.031111111
mondial_target_continent\EK_3_100_500_10_50000_0experiment_dynamic_55%in_2_ep,0.964,0.316944444,0.032777778
mondial_target_continent\EK_3_100_500_10_50000_0experiment_dynamic_55%in_3_ep,0.968,0.331111111,0.033055556
mondial_target_continent\EK_3_100_500_10_50000_0experiment_dynamic_55%in_4_ep,0.972,0.339722222,0.034444444
mondial_target_continent\EK_3_100_500_10_50000_0experiment_dynamic_65%in_1_ep,0.964,0.268333333,0.026944444
mondial_target_continent\EK_3_100_500_10_50000_0experiment_dynamic_65%in_2_ep,0.972,0.28,0.028333333
mondial_target_continent\EK_3_100_500_10_50000_0experiment_dynamic_65%in_3_ep,0.972,0.306944444,0.031111111
mondial_target_continent\EK_3_100_500_10_50000_0experiment_dynamic_65%in_4_ep,0.976,0.306944444,0.031111111
mondial_target_continent\EK_3_100_500_10_50000_0experiment_dynamic_75%in_1_ep,0.904,0.219722222,0.022222222
mondial_target_continent\EK_3_100_500_10_50000_0experiment_dynamic_75%in_2_ep,0.956,0.237222222,0.024166667
mondial_target_continent\EK_3_100_500_10_50000_0experiment_dynamic_75%in_3_ep,0.968,0.256944444,0.025833333
mondial_target_continent\EK_3_100_500_10_50000_0experiment_dynamic_75%in_4_ep,0.972,0.276388889,0.028055556
mondial_target_continent\EK_3_100_500_10_50000_0experiment_dynamic_85%in_1_ep,0.832,0.186944444,0.018888889
mondial_target_continent\EK_3_100_500_10_50000_0experiment_dynamic_85%in_2_ep,0.944,0.205,0.020833333
mondial_target_continent\EK_3_100_500_10_50000_0experiment_dynamic_85%in_3_ep,0.972,0.234166667,0.023888889
mondial_target_continent\EK_3_100_500_10_50000_0experiment_dynamic_85%in_4_ep,0.98,0.251111111,0.025555556
mondial_target_continent\EK_3_100_500_10_50000_0experiment_dynamic_95%in_1_ep,0.276,0.163333333,0.016388889
mondial_target_continent\EK_3_100_500_10_50000_0experiment_dynamic_95%in_2_ep,0.316,0.186111111,0.018888889
mondial_target_continent\EK_3_100_500_10_50000_0experiment_dynamic_95%in_3_ep,0.516,0.208055556,0.021111111
mondial_target_continent\EK_3_100_500_10_50000_0experiment_dynamic_95%in_4_ep,0.648,0.221944444,0.0225
mondial_target_continent\EK_3_100_500_10_50000_0experiment_dynamic_95%in_5_ep,0.824,0.246388889,0.024722222
mondial_target_continent\EK_3_100_500_10_50000_0experiment_dynamic_95%in_6_ep,0.948,0.268333333,0.0275
mondial_target_continent\EK_3_100_500_10_50000_0experiment_dynamic_95%in_7_ep,0.972,0.283888889,0.029166667
mondial_target_continent\EK_3_100_500_10_50000_0experiment_dynamic_95%in_8_ep,0.976,0.300833333,0.030555556
mondial_target_continent\EK_3_100_500_10_50000_0experiment_dynamic_95%in_9_ep,0.976,0.323888889,0.032777778
mondial_target_GDP_g8e3\EK_3_100_500_10_50000_0experiment_dynamic_55%in_1_ep,0.875,0.308611111,0.031666667
mondial_target_GDP_g8e3\EK_3_100_500_10_50000_0experiment_dynamic_55%in_2_ep,0.875,0.313055556,0.031388889
mondial_target_GDP_g8e3\EK_3_100_500_10_50000_0experiment_dynamic_55%in_3_ep,0.879166667,0.327777778,0.033611111
mondial_target_GDP_g8e3\EK_3_100_500_10_50000_0experiment_dynamic_55%in_4_ep,0.883333333,0.325833333,0.0325
mondial_target_GDP_g8e3\EK_3_100_500_10_50000_0experiment_dynamic_65%in_1_ep,0.879166667,0.266388889,0.026666667
mondial_target_GDP_g8e3\EK_3_100_500_10_50000_0experiment_dynamic_65%in_2_ep,0.879166667,0.287222222,0.028888889
mondial_target_GDP_g8e3\EK_3_100_500_10_50000_0experiment_dynamic_65%in_3_ep,0.883333333,0.292777778,0.029444444
mondial_target_GDP_g8e3\EK_3_100_500_10_50000_0experiment_dynamic_65%in_4_ep,0.879166667,0.295833333,0.03
mondial_target_GDP_g8e3\EK_3_100_500_10_50000_0experiment_dynamic_75%in_1_ep,0.833333333,0.213611111,0.022777778
mondial_target_GDP_g8e3\EK_3_100_500_10_50000_0experiment_dynamic_75%in_2_ep,0.8375,0.23,0.024444444
mondial_target_GDP_g8e3\EK_3_100_500_10_50000_0experiment_dynamic_75%in_3_ep,0.845833333,0.250833333,0.026111111
mondial_target_GDP_g8e3\EK_3_100_500_10_50000_0experiment_dynamic_75%in_4_ep,0.854166667,0.271666667,0.027777778
mondial_target_GDP_g8e3\EK_3_100_500_10_50000_0experiment_dynamic_85%in_1_ep,0.758333333,0.186111111,0.018611111
mondial_target_GDP_g8e3\EK_3_100_500_10_50000_0experiment_dynamic_85%in_2_ep,0.783333333,0.204166667,0.020555556
mondial_target_GDP_g8e3\EK_3_100_500_10_50000_0experiment_dynamic_85%in_3_ep,0.85,0.228611111,0.023333333
mondial_target_GDP_g8e3\EK_3_100_500_10_50000_0experiment_dynamic_85%in_4_ep,0.858333333,0.246388889,0.025555556
mondial_target_GDP_g8e3\EK_3_100_500_10_50000_0experiment_dynamic_95%in_1_ep,0.725,0.161666667,0.016388889
mondial_target_GDP_g8e3\EK_3_100_500_10_50000_0experiment_dynamic_95%in_2_ep,0.720833333,0.183611111,0.018333333
mondial_target_GDP_g8e3\EK_3_100_500_10_50000_0experiment_dynamic_95%in_3_ep,0.795833333,0.200833333,0.020277778
mondial_target_GDP_g8e3\EK_3_100_500_10_50000_0experiment_dynamic_95%in_4_ep,0.829166667,0.220833333,0.021666667
mondial_target_GDP_g8e3\EK_3_100_500_10_50000_0experiment_dynamic_95%in_5_ep,0.858333333,0.241388889,0.024166667
mondial_target_GDP_g8e3\EK_3_100_500_10_50000_0experiment_dynamic_95%in_6_ep,0.866666667,0.2625,0.026111111
mondial_target_GDP_g8e3\EK_3_100_500_10_50000_0experiment_dynamic_95%in_7_ep,0.870833333,0.279166667,0.0275
mondial_target_GDP_g8e3\EK_3_100_500_10_50000_0experiment_dynamic_95%in_8_ep,0.875,0.293611111,0.03
mondial_target_GDP_g8e3\EK_3_100_500_10_50000_0experiment_dynamic_95%in_9_ep,0.879166667,0.319166667,0.031666667
mondial_target_Inflation_g6\EK_3_100_500_10_50000_0experiment_dynamic_55%in_1_ep,0.741666667,0.305277778,0.031111111
mondial_target_Inflation_g6\EK_3_100_500_10_50000_0experiment_dynamic_55%in_2_ep,0.7375,0.313888889,0.031666667
mondial_target_Inflation_g6\EK_3_100_500_10_50000_0experiment_dynamic_55%in_3_ep,0.745833333,0.322777778,0.033333333
mondial_target_Inflation_g6\EK_3_100_500_10_50000_0experiment_dynamic_55%in_4_ep,0.7375,0.331944444,0.033333333
mondial_target_Inflation_g6\EK_3_100_500_10_50000_0experiment_dynamic_65%in_1_ep,0.725,0.265833333,0.026666667
mondial_target_Inflation_g6\EK_3_100_500_10_50000_0experiment_dynamic_65%in_2_ep,0.729166667,0.278888889,0.028055556
mondial_target_Inflation_g6\EK_3_100_500_10_50000_0experiment_dynamic_65%in_3_ep,0.741666667,0.289444444,0.029166667
mondial_target_Inflation_g6\EK_3_100_500_10_50000_0experiment_dynamic_65%in_4_ep,0.7375,0.299444444,0.030277778
mondial_target_Inflation_g6\EK_3_100_500_10_50000_0experiment_dynamic_75%in_1_ep,0.7125,0.217777778,0.0225
mondial_target_Inflation_g6\EK_3_100_500_10_50000_0experiment_dynamic_75%in_2_ep,0.725,0.233888889,0.023333333
mondial_target_Inflation_g6\EK_3_100_500_10_50000_0experiment_dynamic_75%in_3_ep,0.733333333,0.255833333,0.025833333
mondial_target_Inflation_g6\EK_3_100_500_10_50000_0experiment_dynamic_75%in_4_ep,0.745833333,0.273888889,0.0275
mondial_target_Inflation_g6\EK_3_100_500_10_50000_0experiment_dynamic_85%in_1_ep,0.566666667,0.181944444,0.018611111
mondial_target_Inflation_g6\EK_3_100_500_10_50000_0experiment_dynamic_85%in_2_ep,0.645833333,0.203055556,0.020555556
mondial_target_Inflation_g6\EK_3_100_500_10_50000_0experiment_dynamic_85%in_3_ep,0.7375,0.224722222,0.023055556
mondial_target_Inflation_g6\EK_3_100_500_10_50000_0experiment_dynamic_85%in_4_ep,0.75,0.243611111,0.025277778
mondial_target_Inflation_g6\EK_3_100_500_10_50000_0experiment_dynamic_95%in_1_ep,0.483333333,0.161666667,0.016388889
mondial_target_Inflation_g6\EK_3_100_500_10_50000_0experiment_dynamic_95%in_2_ep,0.525,0.179722222,0.018055556
mondial_target_Inflation_g6\EK_3_100_500_10_50000_0experiment_dynamic_95%in_3_ep,0.604166667,0.2025,0.020277778
mondial_target_Inflation_g6\EK_3_100_500_10_50000_0experiment_dynamic_95%in_4_ep,0.641666667,0.219722222,0.021944444
mondial_target_Inflation_g6\EK_3_100_500_10_50000_0experiment_dynamic_95%in_5_ep,0.7,0.241111111,0.023611111
mondial_target_Inflation_g6\EK_3_100_500_10_50000_0experiment_dynamic_95%in_6_ep,0.733333333,0.267777778,0.026388889
mondial_target_Inflation_g6\EK_3_100_500_10_50000_0experiment_dynamic_95%in_7_ep,0.733333333,0.28,0.028333333
mondial_target_Inflation_g6\EK_3_100_500_10_50000_0experiment_dynamic_95%in_8_ep,0.7375,0.293333333,0.029722222
mondial_target_Inflation_g6\EK_3_100_500_10_50000_0experiment_dynamic_95%in_9_ep,0.741666667,0.323333333,0.0325
genes\EK_3_100_500_10_50000_0experiment_all_schemes,0.8965116279069768,0.6008333333333333,0.0613888888888888
genes_essential\EK_3_100_500_10_50000_0experiment_all_schemes,1.0,0.5636111111111111,0.0569444444444444
mondial_target_continent\EK_3_100_500_10_50000_0experiment_all_schemes,0.968,0.4513888888888889,0.045
mondial_target_GDP_g8e3\EK_3_100_500_10_50000_0experiment_all_schemes,0.8791666666666668,0.45,0.0458333333333333
mondial_target_Inflation_g6\EK_3_100_500_10_50000_0experiment_all_schemes,0.725,0.4483333333333333,0.0447222222222222
mondial_original_target\EK_3_100_500_10_50000_0experiment_all_schemes,0.8333333333333334,0.3969444444444444,0.0397222222222222
hepatitis\EK_3_100_500_10_50000_0experiment_all_schemes,0.8560000000000001,0.4,0.04
genes\EK_3_100_500_10_50000_0experiment_all_schemes,0.8965116279069768,0.6008333333333333,0.0613888888888888
genes_essential\EK_3_100_500_10_50000_0experiment_all_schemes,1.0,0.5636111111111111,0.0569444444444444
mondial_target_continent\EK_3_100_500_10_50000_0experiment_all_schemes,0.968,0.4513888888888889,0.045
mondial_target_GDP_g8e3\EK_3_100_500_10_50000_0experiment_all_schemes,0.8791666666666668,0.45,0.0458333333333333
mondial_target_Inflation_g6\EK_3_100_500_10_50000_0experiment_all_schemes,0.725,0.4483333333333333,0.0447222222222222
mondial_original_target\EK_3_100_500_10_50000_0experiment_all_schemes,0.8333333333333334,0.3969444444444444,0.0397222222222222
hepatitis\EK_3_100_500_10_50000_0experiment_all_schemes,0.8560000000000001,0.4,0.04
genes\EK_3_100_500_10_50000_0experiment_all_schemes,0.8965116279069768,0.6008333333333333,0.0613888888888888
genes_essential\EK_3_100_500_10_50000_0experiment_all_schemes,1.0,0.5636111111111111,0.0569444444444444
mondial_target_continent\EK_3_100_500_10_50000_0experiment_all_schemes,0.968,0.4513888888888889,0.045
mondial_target_GDP_g8e3\EK_3_100_500_10_50000_0experiment_all_schemes,0.8791666666666668,0.45,0.0458333333333333
mondial_target_Inflation_g6\EK_3_100_500_10_50000_0experiment_all_schemes,0.725,0.4483333333333333,0.0447222222222222
mondial_original_target\EK_3_100_500_10_50000_0experiment_all_schemes,0.8333333333333334,0.3969444444444444,0.0397222222222222
hepatitis\EK_3_100_500_10_50000_0experiment_all_schemes,0.8560000000000001,0.4,0.04
genes\EK_3_100_500_10_50000_0experiment_all_schemes,0.8965116279069768,0.6008333333333333,0.0613888888888888
genes_essential\EK_3_100_500_10_50000_0experiment_all_schemes,1.0,0.5636111111111111,0.0569444444444444
mondial_target_continent\EK_3_100_500_10_50000_0experiment_all_schemes,0.968,0.4513888888888889,0.045
mondial_target_GDP_g8e3\EK_3_100_500_10_50000_0experiment_all_schemes,0.8791666666666668,0.45,0.0458333333333333
mondial_target_Inflation_g6\EK_3_100_500_10_50000_0experiment_all_schemes,0.725,0.4483333333333333,0.0447222222222222
mondial_original_target\EK_3_100_500_10_50000_0experiment_all_schemes,0.8333333333333334,0.3969444444444444,0.0397222222222222
hepatitis\EK_3_100_500_10_50000_0experiment_all_schemes,0.8560000000000001,0.4,0.04
mutagenesis\EK_4_100_500_10_50000_0experiment_all_schemes,0.8894736842105264,0.4908333333333333,0.0483333333333333
genes\EK_3_100_500_10_50000_0experiment_all_schemes,0.8965116279069768,0.6008333333333333,0.0613888888888888
genes_essential\EK_3_100_500_10_50000_0experiment_all_schemes,1.0,0.5636111111111111,0.0569444444444444
mondial_target_continent\EK_3_100_500_10_50000_0experiment_all_schemes,0.968,0.4513888888888889,0.045
mondial_target_GDP_g8e3\EK_3_100_500_10_50000_0experiment_all_schemes,0.8791666666666668,0.45,0.0458333333333333
mondial_target_Inflation_g6\EK_3_100_500_10_50000_0experiment_all_schemes,0.725,0.4483333333333333,0.0447222222222222
mondial_original_target\EK_3_100_500_10_50000_0experiment_all_schemes,0.8333333333333334,0.3969444444444444,0.0397222222222222
hepatitis\EK_3_100_500_10_50000_0experiment_all_schemes,0.8560000000000001,0.4,0.04
mutagenesis\EK_4_100_500_10_50000_0experiment_all_schemes,0.8894736842105264,0.49083333333333334,0.04833333333333333
